,Category,Coef,Std Err,z,P>|z|,CI_lower,CI_upper
Hours per day,Hours per day,-0.017389772425636045,0.02928696100644583,-0.5937718297848893,0.5526647328433791,-0.07479116121489882,0.04001161636362672
Frequency [Classical],Frequency [Classical],0.10766616925016381,0.11062246199638491,0.9732758366350795,0.33041622839954654,-0.10914987214390146,0.3244822106442291
Frequency [Country],Frequency [Country],-0.12957993575817897,0.12396824199813748,-1.0452671883507536,0.29589949802077886,-0.3725532253012742,0.11339335378491625
Frequency [EDM],Frequency [EDM],-0.0567266487645241,0.11364862007039997,-0.49914067350210334,0.6176802855145757,-0.27947385099518396,0.16602055346613578
Frequency [Folk],Frequency [Folk],0.047394488823556104,0.11448765836874958,0.41397028726803664,0.6788958672468799,-0.17699719825351878,0.271786175900631
Frequency [Gospel],Frequency [Gospel],-0.24584964558655165,0.1578262312733517,-1.5577236027434833,0.11929878291128891,-0.5551833746980102,0.06348408352490686
Frequency [Hip hop],Frequency [Hip hop],-0.30168280330600794,0.12679902062516737,-2.3792202953823858,0.01734930411686391,-0.5502043170062875,-0.053161289605728385
Frequency [Jazz],Frequency [Jazz],0.004217656825089745,0.11414939925350034,0.0369485678651998,0.9705260146068876,-0.21951105456865427,0.22794636821883374
Frequency [K pop],Frequency [K pop],0.14581465184889109,0.13837280840713465,1.053781111530672,0.29198314320273977,-0.12539106906875402,0.4170203727665362
Frequency [Latin],Frequency [Latin],-0.16826851588925992,0.13430859770780984,-1.2528499199681196,0.21026033034282132,-0.43150853021064606,0.09497149843212624
Frequency [Lofi],Frequency [Lofi],-0.09447669589944067,0.1157489464108999,-0.8162207849741944,0.4143738710982804,-0.3213404621132612,0.1323870703143799
Frequency [Metal],Frequency [Metal],0.10764430180123634,0.11420142722317632,0.9425828067006043,0.3458943375296958,-0.11618638253926132,0.331474986141734
Frequency [Pop],Frequency [Pop],0.04604373996353823,0.09694926212031518,0.4749261516441188,0.6348396107108141,-0.14397332212001285,0.2360608020470893
Frequency [R&B],Frequency [R&B],-0.17357787731684474,0.11652719258584858,-1.4895911715110226,0.13633176475702727,-0.40196697800467074,0.054811223370981293
Frequency [Rap],Frequency [Rap],0.18294948240039566,0.1280991057954915,1.4281870374058039,0.153238030631625,-0.06812015141055378,0.4340191162113451
Frequency [Rock],Frequency [Rock],-0.0511857643432238,0.0969650937904929,-0.527878253320912,0.5975838393030661,-0.24123385593013832,0.13886232724369071
Frequency [Video game music],Frequency [Video game music],-0.1919593893052577,0.10799815892650204,-1.7774320526694842,0.07549718102680333,-0.4036318911978346,0.019713112587319254
Anxiety,Anxiety,-0.1219830944419532,0.03811187994921752,-3.2006580259092585,0.0013711415935054182,-0.19668100652553377,-0.04728518235837263
Depression,Depression,0.05003826573394,0.03500457673951991,1.4294778110385538,0.15286694802235556,-0.018569443969587547,0.11864597543746755
Insomnia,Insomnia,0.02382268471770208,0.030250482522638872,0.7875142057609708,0.4309809158194656,-0.03546717154162847,0.08311254097703263
OCD,OCD,0.001867676426173569,0.03299692636953895,0.0566015272227813,0.9548626179494334,-0.06280511085864278,0.06654046371098991
0/1,0/1,-5.5577865850716615,0.47530984076865135,-11.692976051334934,1.3844860224132142e-31,-6.4893767544756855,-4.626196415667637
1/2,1/2,1.7545885323528643,0.06349695970977401,27.632638481788327,4.512478325292951e-168,1.6301367781939162,1.8790402865118123
2/3,2/3,0.9993547268591051,0.0881158010242651,11.341379358100658,8.184415711478878e-30,0.8266509303826479,1.1720585233355623
